Chromosome	Sample_ID	Age_group	mCG%	mCHG%	mCHH%
Chr.1	A1	8 months	79.379	1.02	1.032
Chr.2	A1	8 months	80.396	1.022	1.016
Chr.3	A1	8 months	78.917	1.013	1.011
Chr.4	A1	8 months	76.254	0.986	0.966
Chr.5	A1	8 months	79.528	0.989	0.984
Chr.6	A1	8 months	78.662	0.976	0.968
Chr.7	A1	8 months	78.703	0.99	0.991
Chr.8	A1	8 months	78.675	0.998	0.993
Chr.9	A1	8 months	79.799	1.016	1.019
Chr.10	A1	8 months	78.118	1.006	0.999
Chr.11	A1	8 months	79.34	0.996	0.988
Chr.12	A1	8 months	78.103	0.989	0.994
Chr.13	A1	8 months	78.551	1.015	1.013
Chr.14	A1	8 months	79.295	1.001	0.987
Chr.15	A1	8 months	78.535	1.03	1.03
Chr.16	A1	8 months	79.314	0.998	0.998
Chr.17	A1	8 months	78.708	0.993	0.988
Chr.18	A1	8 months	76.515	1.007	1.016
Chr.19	A1	8 months	77.92	1.017	1.003
Chr.20	A1	8 months	81.177	1.09	0.986
Chr.21	A1	8 months	79.494	1.008	0.991
Chr.22	A1	8 months	78.904	1.033	1.016
Chr.23	A1	8 months	79.422	1.04	1.023
Chr.24	A1	8 months	78.762	0.998	0.978
Chr.25	A1	8 months	77.095	0.976	0.971
Chr.26	A1	8 months	86.66	1.079	0.894
Chr.1	A2	8 months	79.2	0.983	0.991
Chr.2	A2	8 months	80.151	0.974	0.97
Chr.3	A2	8 months	78.869	0.963	0.957
Chr.4	A2	8 months	76.408	0.932	0.915
Chr.5	A2	8 months	79.54	0.944	0.935
Chr.6	A2	8 months	78.363	0.934	0.925
Chr.7	A2	8 months	78.632	0.949	0.947
Chr.8	A2	8 months	78.412	0.966	0.955
Chr.9	A2	8 months	79.688	0.963	0.966
Chr.10	A2	8 months	77.759	0.961	0.953
Chr.11	A2	8 months	78.937	0.957	0.948
Chr.12	A2	8 months	77.957	0.945	0.949
Chr.13	A2	8 months	78.228	0.971	0.968
Chr.14	A2	8 months	78.994	0.959	0.947
