Chromosome	Age_group	CG_mean	CG_SD	CHG_mean	CHG_SD	CHH_mean	CHH_SD
Chr.1	8 months	79.097	0.345223116	1.093333333	0.160132237	1.072333333	0.107342132
Chr.1	44 months	81.18533333	0.191369625	1.305	0.046227697	1.228333333	0.046003623
Chr.1	74 months	80.71366667	0.607407881	1.213333333	0.11289966	1.227666667	0.088455262
Chr.2	8 months	80.083	0.351961646	1.093333333	0.166857224	1.051333333	0.103621105
Chr.2	44 months	82.201	0.204296353	1.305	0.044508426	1.195333333	0.044881325
Chr.2	74 months	81.759	0.590183022	1.198333333	0.116388717	1.201666667	0.090012962
Chr.3	8 months	78.713	0.312691541	1.078333333	0.158446626	1.042333333	0.104581706
Chr.3	44 months	80.78366667	0.24306652	1.292333333	0.050143128	1.2	0.047947888
Chr.3	74 months	80.32333333	0.517787923	1.198	0.114424648	1.207	0.091929321
Chr.4	8 months	75.85366667	0.830343503	1.053666667	0.16617561	0.999	0.104484449
Chr.4	44 months	78.18366667	0.089539563	1.256	0.045133136	1.133333333	0.043247351
Chr.4	74 months	77.66966667	0.360645717	1.164666667	0.111446549	1.154333333	0.083859009
Chr.5	8 months	79.30566667	0.395530446	1.06	0.163502294	1.02	0.107615055
Chr.5	44 months	81.487	0.203899485	1.263	0.04592385	1.159333333	0.043500958
Chr.5	74 months	80.89333333	0.580332089	1.171	0.109123783	1.170666667	0.083188541
Chr.6	8 months	78.31166667	0.378618982	1.045666667	0.158437159	1.004333333	0.102451615
Chr.6	44 months	80.50133333	0.176137257	1.247666667	0.046360903	1.145333333	0.046608297
Chr.6	74 months	79.809	0.560506021	1.161333333	0.110292037	1.159	0.085082313
Chr.7	8 months	78.51466667	0.26708488	1.059333333	0.156940541	1.026	0.101148406
Chr.7	44 months	80.66866667	0.264416969	1.264	0.052115257	1.169333333	0.050063293
Chr.7	74 months	80.149	0.530010377	1.175	0.111745246	1.18	0.087177979
Chr.8	8 months	78.349	0.361639323	1.075	0.161873407	1.032666667	0.103374723
Chr.8	44 months	80.46966667	0.239117823	1.273666667	0.047374395	1.175333333	0.048232078
Chr.8	74 months	79.91233333	0.544023284	1.189	0.111807871	1.187	0.087298339
Chr.9	8 months	79.49	0.442568639	1.087333333	0.171511904	1.058333333	0.117065509
Chr.9	44 months	81.61233333	0.223973957	1.294333333	0.049034002	1.202333333	0.047542963
Chr.9	74 months	80.99833333	0.59471786	1.202666667	0.120192901	1.218666667	0.098434411
Chr.10	8 months	77.71333333	0.42932544	1.076666667	0.162930456	1.035333333	0.105310652
Chr.10	44 months	79.76666667	0.211192645	1.281	0.046936127	1.179333333	0.046800997
Chr.10	74 months	79.417	0.507987205	1.185666667	0.10623245	1.184333333	0.08122397
Chr.11	8 months	78.921	0.427224765	1.069333333	0.161970162	1.028333333	0.106397055
Chr.11	44 months	81.02966667	0.202411297	1.278666667	0.049095146	1.174333333	0.043981057
Chr.11	74 months	80.52333333	0.551099205	1.182666667	0.107983023	1.184333333	0.087214295
Chr.12	8 months	77.84766667	0.324137831	1.055666667	0.155142945	1.030333333	0.10435676
Chr.12	44 months	80.02	0.229431907	1.262333333	0.046800997	1.178	0.047286362
Chr.12	74 months	79.65466667	0.56789465	1.167333333	0.112005952	1.178333333	0.089029958
Chr.13	8 months	78.21066667	0.349322678	1.085333333	0.161432132	1.046333333	0.09928914
Chr.13	44 months	80.172	0.233989316	1.295666667	0.053200877	1.197666667	0.04796179
Chr.13	74 months	79.876	0.673182739	1.195	0.104885652	1.196	0.077116795
Chr.14	8 months	78.93666667	0.390172184	1.072333333	0.161298894	1.027	0.105830052
Chr.14	44 months	81.07933333	0.208260254	1.289333333	0.04669404	1.177333333	0.041428654
Chr.14	74 months	80.66366667	0.503024188	1.187666667	0.11229574	1.184	0.086261231
Chr.15	8 months	78.18633333	0.381399178	1.103	0.165084827	1.069	0.106023582
Chr.15	44 months	80.39733333	0.271420952	1.32	0.047031904	1.222333333	0.047606022
Chr.15	74 months	79.895	0.50131527	1.215666667	0.116624754	1.225	0.087880601
Chr.16	8 months	78.89866667	0.428019081	1.073	0.163	1.044	0.110435502
Chr.16	44 months	80.952	0.294618397	1.286666667	0.052652952	1.198	0.054744863
Chr.16	74 months	80.579	0.564792882	1.19	0.116051713	1.202	0.091329075
Chr.17	8 months	78.38533333	0.381687481	1.066	0.160477413	1.026	0.106226174
Chr.17	44 months	80.41666667	0.195990646	1.274333333	0.047721414	1.176333333	0.04669404
Chr.17	74 months	80.02066667	0.559716297	1.178	0.110040901	1.180333333	0.084085274
Chr.18	8 months	75.96533333	0.530209707	1.077	0.159009434	1.050666667	0.106326541
Chr.18	44 months	77.86533333	0.171980619	1.277666667	0.04990324	1.193333333	0.051481388
Chr.18	74 months	77.373	0.413529926	1.194333333	0.110278435	1.209	0.08869611
Chr.19	8 months	77.593	0.383430567	1.087	0.159934362	1.038	0.103058236
Chr.19	44 months	79.76733333	0.19655364	1.29	0.0486621	1.187	0.046227697
Chr.19	74 months	79.35733333	0.521268964	1.200666667	0.109737566	1.193	0.086504335
Chr.20	8 months	81.236	0.264482514	1.201	0.217855457	1.015333333	0.106086443
Chr.20	44 months	83.27933333	0.371785332	1.474666667	0.044455971	1.160333333	0.047606022
Chr.20	74 months	82.73933333	0.415921066	1.284333333	0.147615492	1.162333333	0.085932144
Chr.21	8 months	79.17133333	0.349550187	1.080666667	0.161744655	1.027333333	0.100550153
Chr.21	44 months	81.11766667	0.217214947	1.291666667	0.045785733	1.171666667	0.046715451
Chr.21	74 months	80.667	0.511645385	1.190333333	0.109546033	1.18	0.084148678
Chr.22	8 months	78.548	0.395045567	1.106666667	0.167153622	1.057	0.108475804
Chr.22	44 months	80.67966667	0.186789543	1.316666667	0.051384174	1.207333333	0.046608297
Chr.22	74 months	80.223	0.526048477	1.217	0.112601066	1.215333333	0.088861315
Chr.23	8 months	79.17466667	0.359723968	1.111	0.16721543	1.061	0.108129552
Chr.23	44 months	81.42233333	0.222216861	1.322333333	0.048013887	1.207	0.045574115
Chr.23	74 months	80.82233333	0.54099199	1.221	0.114315353	1.217666667	0.086152965
Chr.24	8 months	78.43333333	0.353717873	1.079333333	0.163906477	1.020333333	0.102295324
Chr.24	44 months	80.44066667	0.177015065	1.285333333	0.051286775	1.164	0.045574115
Chr.24	74 months	80.074	0.586746112	1.178666667	0.109701109	1.169333333	0.083608213
Chr.25	8 months	76.76266667	0.424841539	1.046	0.160860188	1.005666667	0.10440945
Chr.25	44 months	78.76866667	0.225402603	1.240666667	0.046522396	1.15	0.045738387
Chr.25	74 months	78.38566667	0.552501885	1.157	0.109137528	1.159666667	0.085920506
Chr.26	8 months	86.503	0.453368504	1.196	0.221975224	0.927333333	0.111791473
Chr.26	44 months	88.69666667	0.139317383	1.480333333	0.0567656	1.062333333	0.050083264
Chr.26	74 months	87.888	0.549278618	1.267	0.156980891	1.067666667	0.090666054
