Feature	Age_group	CG_mean	CG_SD	CHG_mean	CHG_SD	CHH_mean	CHH_SD
CDS	8 months	71.57333333	0.413310214	1.013333333	0.196505301	0.860333333	0.110717358
CDS	44 months	74.04266667	0.416001603	1.264333333	0.036950417	1.002333333	0.039145029
CDS	74 months	74.00233333	0.519723324	1.109333333	0.12957366	1.006333333	0.086118136
Down2k	8 months	75.51433333	0.378055992	1.016333333	0.159913518	0.945666667	0.101041246
Down2k	44 months	77.60566667	0.336024305	1.215666667	0.046360903	1.078666667	0.046360903
Down2k	74 months	77.09633333	0.567600505	1.121	0.11347687	1.093333333	0.085582319
Up2k	8 months	56.01266667	0.616159341	0.994666667	0.155936953	0.929333333	0.100480512
Up2k	44 months	58.232	0.563793402	1.192	0.045133136	1.063	0.044643029
Up2k	74 months	57.93866667	0.383445346	1.096666667	0.112304645	1.075333333	0.081879993
mRNA	8 months	79.79566667	0.35223477	1.064333333	0.162890556	1.017666667	0.104920605
mRNA	44 months	81.90566667	0.243068577	1.272666667	0.047374395	1.163	0.047148701
mRNA	74 months	81.536	0.514930092	1.178666667	0.111433089	1.174333333	0.085687416
Repeat	8 months	86.414	0.261157041	1.140666667	0.186859127	1.017333333	0.106791073
Repeat	44 months	88.275	0.184236261	1.371	0.050714889	1.159	0.044508426
Repeat	74 months	87.497	0.433719956	1.238	0.125598567	1.163	0.08697126
CpG island	8 months	79.43066667	0.132590849	1.599333333	0.367723175	1.109	0.119151164
CpG island	44 months	81.45466667	0.420944573	2.028666667	0.080853777	1.243333333	0.053687367
CpG island	74 months	81.472	0.150039995	1.618666667	0.226628183	1.240333333	0.089846165
